title,link,country_address,funding_amount,ceo_cto_cfo_name,Article_date,entity_name
"Bullionaire Coin ($BULL) Secures $400,000 in Private Investment to Develop Luxury-Focused Cryptocurrency",https://www.finsmes.com/2025/03/bullionaire-coin-bull-secures-400000-in-private-investment-to-develop-luxury-focused-cryptocurrency.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}","['400,000', 'over $46,000', '1 billion $']",[],"March 10, 2025","['Bullionaire Coin', 'Private Investment']"
The Data City Raises £2M in Series A Funding,https://www.finsmes.com/2025/03/the-data-city-raises-2m-in-series-a-funding.html,"{'city': 'The Data City', 'state': 'None', 'country': 'a Leeds'}",['£2M'],['Alex Craven'],"March 10, 2025",['The Data City']
Lagom Chain Raises $200K in Funding,https://www.finsmes.com/2025/03/lagom-chain-raises-200k-in-funding.html,"{'city': 'Lagom Chain', 'state': 'None', 'country': 'a London'}","['$200K', '4']",['Harman Puri'],"March 10, 2025",[]
Just Move In Raises £6M in Series A Funding,https://www.finsmes.com/2025/03/just-move-in-raises-6m-in-series-a-funding.html,"{'city': 'Just Move In', 'state': 'None', 'country': 'a London'}",['£6M'],[],"March 10, 2025",[]
Alfa Raises £495K in Pre-Seed Funding,https://www.finsmes.com/2025/03/alfa-raises-495k-in-pre-seed-funding.html,"{'city': 'Alfa', 'state': 'None', 'country': 'a London'}",['£495K'],[],"March 10, 2025","['Alfa', 'Pre-Seed Funding']"
Ocean Ledger Raises $900K in Funding,https://www.finsmes.com/2025/03/ocean-ledger-raises-900k-in-funding.html,"{'city': 'Ocean Ledger', 'state': 'None', 'country': 'a London'}",['$900K'],['Paige Roepers'],"March 10, 2025",['Ocean Ledger Raises']
UNA Watch Raises £300K in Funding,https://www.finsmes.com/2025/03/una-watch-raises-300k-in-funding.html,"{'city': 'UNA Watch', 'state': 'None', 'country': 'an Edinburgh'}",['300'],[],"March 10, 2025",['UNA Watch']
InsureVision Raises $2.7M in Seed Funding,https://www.finsmes.com/2025/03/insurevision-raises-2-7m-in-seed-funding.html,"{'city': 'InsureVision', 'state': 'None', 'country': 'a London'}",['$2.7M'],['Mark Miller'],"March 10, 2025",['InsureVision']
"Oxalis Games Partners with Open Loot for Moonfrost, the Award-Winning Farm-Life Sim RPG",https://www.finsmes.com/2025/03/oxalis-games-partners-with-open-loot-for-moonfrost-the-award-winning-farm-life-sim-rpg.html,"{'city': 'London', 'state': 'None', 'country': 'United Kingdom'}","['over $400 million', '$170 million']",[],"March 7, 2025","['Oxalis Games Partners', 'the Award-Winning Farm-Life Sim RPG']"
Medly AI Raises £1.7M in Funding,https://www.finsmes.com/2025/03/medly-ai-raises-1-7m-in-funding.html,"{'city': 'Medly AI', 'state': 'None', 'country': 'a Wilmslow'}",['£1.7M'],[],"March 6, 2025",[]
Notify Technologies Raises £1.5M in Funding,https://www.finsmes.com/2025/03/notify-technologies-raises-1-5m-in-funding.html,"{'city': 'Notify Technologies', 'state': 'None', 'country': 'a Newcastle upon Tyne'}",['£1.5M'],['Duncan Davies'],"March 5, 2025",['Notify Technologies']
